book_identity_id,inventory_id,local_file_location,format,file_size_mb,page_count,text_quality,canonical_copy,file_status,notes
book-id-034,book-020,"/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Beginning Jazz Guitar_ The Complete Jazz Guitar Method_ Beginning-intermediate-mastering Chord_Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.) - libgen.li.pdf",PDF,51.7,98,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-035,book-021,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 2- Intermediate (Alfred) - libgen.li.pdf,PDF,58.8,98,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-036,book-022,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 3 - Mastering Chord Melody (Alfred) - libgen.li.pdf,PDF,8.7,63,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-037,book-023,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 4 - Mastering Improvisation (Alfred) - libgen.li.pdf,PDF,8.3,63,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-038,book-024,"/Users/alessandralove/Downloads/Guitar Resources/ Joe Satriani - Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music) - libgen.li.pdf",PDF,1.8,39,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-039,book-043,"/Users/alessandralove/Downloads/Guitar Resources/[Blues You Can Use] John Ganapes, John N Ganapes - Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation) - libgen.li.pdf",PDF,12.4,63,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-040,book-025,"/Users/alessandralove/Downloads/Guitar Resources/ John Jorgenson - Introduction to Gypsy Jazz Guitar_ John Jorgenson (Book_CD_DVD Set) (2004, Flatpicking Guitar Magazine) - libgen.li.pdf",PDF,1.0,3,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-041,book-074,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R. - The Cambridge Handbook of Expertise and Expert Performance (2006) - libgen.li.pdf",PDF,11.1,919,text-based / extraction likely good,Yes,Canonical,Make source notes after inventory pass
book-id-042,book-073,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson - Development of Professional Expertise_ Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press) - libgen.li.pdf",PDF,3.5,570,text-based / extraction likely good,Yes,Canonical,Make source notes after inventory pass
book-id-043,book-026,"/Users/alessandralove/Downloads/Guitar Resources/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf",PDF,6.8,345,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
book-id-043,book-075,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf",PDF,6.8,345,text-based / extraction likely good,Yes,Canonical,Use this copy as the working source
book-id-044,book-027,"/Users/alessandralove/Downloads/Guitar Resources/ Larry Baione) - Berklee Practice Method_ Guitar (2001, Berklee Press Publications) - libgen.li.pdf",PDF,6.8,168,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-045,book-028,"/Users/alessandralove/Downloads/Guitar Resources/ maranGraphics Development Group - Maran Illustrated Guitar (2005, Thomson Course Technology PTR) - libgen.li.pdf",PDF,85.0,302,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-046,book-057,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Marc Schonbrun - The Everything Music Theory Book_ A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media) - libgen.li.epub",EPUB,3.1,N/A,EPUB / extraction likely good,Yes,Canonical,Make source notes after inventory pass
book-id-047,book-065,"/Users/alessandralove/Downloads/Guitar Resources/Done/[Everything Series] Marc Schonbrun - The Everything Rock & Blues Guitar Book_ From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media) - libgen.li.pdf",PDF,53.2,285,mixed / partial text,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-048,book-066,"/Users/alessandralove/Downloads/Guitar Resources/Done/[For Dummies ] Mark Phillips, Jon Chappell - Guitar Exercises for Dummies (2009, Wiley Publishing) - libgen.li.pdf",PDF,14.9,240,text-based / extraction likely good,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-049,book-029,"/Users/alessandralove/Downloads/Guitar Resources/ Michael P. Wolfsohn - Music Theory for Guitar_ An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation) - libgen.li.pdf",PDF,7.5,68,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-050,book-030,"/Users/alessandralove/Downloads/Guitar Resources/ Mike Senior - Mixing Secrets for the small studio (2011, Focal Press) - libgen.li.pdf",PDF,7.8,353,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-051,book-058,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Nelson, Troy - Guitar Aerobics_ A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION) - libgen.li.pdf",PDF,51.3,115,text-based / extraction likely good,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-052,book-031,/Users/alessandralove/Downloads/Guitar Resources/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf,PDF,1.6,177,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
